index,categoryId,category,rotation,difficulty,learnerLevel,priority,phase,complexity,title,path,deliverables,learningTreatment,assessment,qaStandard,sourceLine,topicId
"1","ap_breast","Breast","Breast pathology","AR","PGY2-PGY4","P2 rotation depth gap","Phase 3: rotation depth","moderate","Silicone reaction","Breast > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions & Trauma/Infarct > Silicone reaction","entity card; representative image/gross or diagram; differential diagnosis card; sign-out or report element drill","schema card, discriminating features, short-answer retrieval, and spaced review in organ-system block","Five-item micro-assessment: recognition, key criterion, top mimic, ancillary/reporting action, safety-critical miss.","faculty-reviewed entity card with source/provenance, last-reviewed date, image license/status, and rubric anchor; must include at least one pitfall and one reporting consequence","318","1d16eb68-90dd-40cf-ba58-6a7851749548"
"2","ap_breast","Breast","Breast pathology","C","PGY1-PGY2","P0 core board/sign-out gap","Phase 1: core resident coverage","core","Cysts","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Cysts","entity card; representative image/gross or diagram; differential diagnosis card; sign-out or report element drill","worked example -> image/gross recognition -> one-minute retrieval -> mixed contrast against common mimic","Five-item micro-assessment: recognition, key criterion, top mimic, ancillary/reporting action, safety-critical miss.","faculty-reviewed entity card with source/provenance, last-reviewed date, image license/status, and rubric anchor; must be understandable without prior subspecialty rotation","324","b82b09fd-c24e-4aec-9ac7-a08c7ab5c109"
"3","ap_breast","Breast","Breast pathology","C","PGY1-PGY2","P0 core board/sign-out gap","Phase 1: core resident coverage","core","Adenosis","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Adenosis","entity card; representative image/gross or diagram; differential diagnosis card; sign-out or report element drill","worked example -> image/gross recognition -> one-minute retrieval -> mixed contrast against common mimic","Five-item micro-assessment: recognition, key criterion, top mimic, ancillary/reporting action, safety-critical miss.","faculty-reviewed entity card with source/provenance, last-reviewed date, image license/status, and rubric anchor; must be understandable without prior subspecialty rotation","325","2605228a-e2fd-4c25-a6e0-d3ee3ca6e074"
"4","ap_breast","Breast","Breast pathology","C","PGY1-PGY2","P0 core board/sign-out gap","Phase 1: core resident coverage","core","Hemangioma","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Hemangioma","entity card; representative image/gross or diagram; differential diagnosis card; sign-out or report element drill","worked example -> image/gross recognition -> one-minute retrieval -> mixed contrast against common mimic","Five-item micro-assessment: recognition, key criterion, top mimic, ancillary/reporting action, safety-critical miss.","faculty-reviewed entity card with source/provenance, last-reviewed date, image license/status, and rubric anchor; must be understandable without prior subspecialty rotation","332","2a8fcd9a-2b21-4c2c-90de-aed238adba69"
"5","ap_breast","Breast","Breast pathology","C","PGY1-PGY2","P0 core board/sign-out gap","Phase 1: core resident coverage","core","Leiomyoma","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Leiomyoma","entity card; representative image/gross or diagram; differential diagnosis card; sign-out or report element drill","worked example -> image/gross recognition -> one-minute retrieval -> mixed contrast against common mimic","Five-item micro-assessment: recognition, key criterion, top mimic, ancillary/reporting action, safety-critical miss.","faculty-reviewed entity card with source/provenance, last-reviewed date, image license/status, and rubric anchor; must be understandable without prior subspecialty rotation","333","a932fcfa-fe27-4db4-8180-ca7b7289715f"
"6","ap_breast","Breast","Breast pathology","AR","PGY2-PGY4","P2 rotation depth gap","Phase 3: rotation depth","moderate","Adenomyoepithelioma","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Adenomyoepithelioma","entity card; representative image/gross or diagram; differential diagnosis card; sign-out or report element drill","schema card, discriminating features, short-answer retrieval, and spaced review in organ-system block","Five-item micro-assessment: recognition, key criterion, top mimic, ancillary/reporting action, safety-critical miss.","faculty-reviewed entity card with source/provenance, last-reviewed date, image license/status, and rubric anchor; must include at least one pitfall and one reporting consequence","341","c1da3f4f-e8f9-44c0-ac53-5445c1af75c0"
"7","ap_breast","Breast","Breast pathology","AR","PGY2-PGY4","P2 rotation depth gap","Phase 3: rotation depth","moderate","Galactocele","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Galactocele","entity card; representative image/gross or diagram; differential diagnosis card; sign-out or report element drill","schema card, discriminating features, short-answer retrieval, and spaced review in organ-system block","Five-item micro-assessment: recognition, key criterion, top mimic, ancillary/reporting action, safety-critical miss.","faculty-reviewed entity card with source/provenance, last-reviewed date, image license/status, and rubric anchor; must include at least one pitfall and one reporting consequence","343","970de297-1707-4c6b-87ca-950ec7b0df28"
"8","ap_breast","Breast","Breast pathology","AR","PGY2-PGY4","P2 rotation depth gap","Phase 3: rotation depth","moderate","Apocrine carcinoma","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Apocrine carcinoma","entity card; representative image/gross or diagram; differential diagnosis card; sign-out or report element drill","contrastive learning set with two near-misses, diagnostic threshold cue, and delayed mixed retrieval","Five-item micro-assessment: recognition, key criterion, top mimic, ancillary/reporting action, safety-critical miss.","faculty-reviewed entity card with source/provenance, last-reviewed date, image license/status, and rubric anchor; must include at least one pitfall and one reporting consequence","426","8fbc84f1-7251-455a-853b-d47da8c53d43"
"9","ap_breast","Breast","Breast pathology","F","PGY4-PGY5/Fellow","P3 fellow/reference depth gap","Phase 4: fellow/consult depth","expert","Other uncommon carcinomas","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Other uncommon carcinomas","entity card; representative image/gross or diagram; differential diagnosis card; sign-out or report element drill","contrastive learning set with two near-misses, diagnostic threshold cue, and delayed mixed retrieval","Consult-style short answer with molecular/clinical implication and confidence calibration.","faculty-reviewed entity card with source/provenance, last-reviewed date, image license/status, and rubric anchor; requires subspecialist review or explicit fellow-level caveat","438","3ed38611-197f-49e4-9bc5-11fc4c8818da"
"10","ap_breast","Breast","Breast pathology","F","PGY4-PGY5/Fellow","P3 fellow/reference depth gap","Phase 4: fellow/consult depth","expert","Radiation-induced sarcoma","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Radiation-induced sarcoma","entity card; representative image/gross or diagram; differential diagnosis card; sign-out or report element drill","schema card, discriminating features, short-answer retrieval, and spaced review in organ-system block","Consult-style short answer with molecular/clinical implication and confidence calibration.","faculty-reviewed entity card with source/provenance, last-reviewed date, image license/status, and rubric anchor; requires subspecialist review or explicit fellow-level caveat","439","2c670cd5-63a5-4d51-ad51-0d70fb0bf19d"
