cardId,sourceQueueId,title,category,domain,learnerLevel,apSpecPath,specimenContext,normalComparatorPrompt,visualAnchorPlan,reportingConsequencePrompt,mimicFrame,taxonomyQa,definition,normalComparator,grossMorphologyAnchor,microscopicMorphologyAnchor,mechanismOfDiseaseOrDeath,topMimicOrArtifact,discriminator,reportOrAutopsyConsequence,safetyPitfall,visualAssetPathOrRationale,sourceCitation,retrievalAnswerKey,reviewer,reviewDate,decision,taxonomyQaGateStatus,taxonomyQaGateEvidence,contentAuthoringGateStatus,contentAuthoringGateEvidence,visualAnchorGateStatus,visualAnchorGateEvidence,retrievalKeyGateStatus,retrievalKeyGateEvidence,facultyReviewGateStatus,facultyReviewGateEvidence
"p0-cv-autopsy-batch-2-card-01-f4326c88-31a3-4d1e-a886-80e66507a039","ap_cv-f4326c88-31a3-4d1e-a886-80e66507a039","Primary cardiomyopathy","Cardiovascular / Autopsy-adjacent","Myocardium / ischemic and nonischemic injury","PGY1-PGY2","Cardiovascular > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Primary cardiomyopathy","autopsy heart or cardiac specimen with coronary, chamber, myocardial, clinical-timeline, and toxicologic context reconciled before diagnosis","normal myocardium, coronary perfusion territory, and expected postmortem change before injury pattern assignment","gross heart/coronary or low-power myocardium with high-power injury, inflammation, scar, or fibrosis discriminator","mechanism-of-death reasoning, contributory-vs-immediate cause language, and clinicopathologic limits on timing or causality","postmortem autolysis, contraction-band artifact, myocarditis, hypertensive heart disease, ischemic injury, or cardiomyopathy mimic","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from unused cardiovascular/autopsy P0 AP specification path at source line 1245; faculty must confirm entity/process placement and batch-2 eligibility.","missing","Needs source-backed definition, normal comparator, gross-micro morphology, mechanism, mimic discriminator, reporting consequence, and safety pitfall.","missing","gross heart/coronary or low-power myocardium with high-power injury, inflammation, scar, or fibrosis discriminator","missing","Prompts exist; faculty-reviewed diagnosis, mechanism, mimic discriminator, causality limits, and reporting answer key are not yet attached.","missing","Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-cv-autopsy-batch-2-card-02-2164f3cc-8111-4e0e-bae3-040218ccb2e0","ap_cv-2164f3cc-8111-4e0e-bae3-040218ccb2e0","Williams-Beuren Syndrome","Cardiovascular / Autopsy-adjacent","Cardiovascular / autopsy mechanism","PGY1-PGY2","Cardiovascular > Normal Development, Structure, and Function > Normal Circulation of the Embryo and Fetus > Trisomy 13 > Williams-Beuren Syndrome","cardiovascular autopsy or surgical pathology specimen with clinical history, gross orientation, histology, and cause-of-death question integrated","normal cardiovascular gross or histologic comparator before abnormal pattern recognition","gross-micro correlation image, diagram, H&E field, or explicit no-image rationale tied to the diagnostic discriminator","mechanism-of-disease, mechanism-of-death, or clinicopathologic correlation stated with appropriate certainty and caveats","common cardiovascular mimic, postmortem artifact, degenerative change, or nonspecific injury pattern selected by faculty","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from unused cardiovascular/autopsy P0 AP specification path at source line 15689; faculty must confirm entity/process placement and batch-2 eligibility.","missing","Needs source-backed definition, normal comparator, gross-micro morphology, mechanism, mimic discriminator, reporting consequence, and safety pitfall.","missing","gross-micro correlation image, diagram, H&E field, or explicit no-image rationale tied to the diagnostic discriminator","missing","Prompts exist; faculty-reviewed diagnosis, mechanism, mimic discriminator, causality limits, and reporting answer key are not yet attached.","missing","Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-cv-autopsy-batch-2-card-03-37b2fa84-5916-431f-b31a-4fdc6723c7af","ap_cv-37b2fa84-5916-431f-b31a-4fdc6723c7af","Malformation","Cardiovascular / Autopsy-adjacent","Cardiovascular / autopsy mechanism","PGY1-PGY2","Cardiovascular > Normal Development, Structure, and Function > Normal Circulation of the Embryo and Fetus > Malformation","cardiovascular autopsy or surgical pathology specimen with clinical history, gross orientation, histology, and cause-of-death question integrated","normal cardiovascular gross or histologic comparator before abnormal pattern recognition","gross-micro correlation image, diagram, H&E field, or explicit no-image rationale tied to the diagnostic discriminator","mechanism-of-disease, mechanism-of-death, or clinicopathologic correlation stated with appropriate certainty and caveats","common cardiovascular mimic, postmortem artifact, degenerative change, or nonspecific injury pattern selected by faculty","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from unused cardiovascular/autopsy P0 AP specification path at source line 15690; faculty must confirm entity/process placement and batch-2 eligibility.","missing","Needs source-backed definition, normal comparator, gross-micro morphology, mechanism, mimic discriminator, reporting consequence, and safety pitfall.","missing","gross-micro correlation image, diagram, H&E field, or explicit no-image rationale tied to the diagnostic discriminator","missing","Prompts exist; faculty-reviewed diagnosis, mechanism, mimic discriminator, causality limits, and reporting answer key are not yet attached.","missing","Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-cv-autopsy-batch-2-card-04-ca59e159-84d0-4381-904e-ce094f742975","ap_cv-ca59e159-84d0-4381-904e-ce094f742975","Right-to-Left Shunts","Cardiovascular / Autopsy-adjacent","Cardiovascular / autopsy mechanism","PGY1-PGY2","Cardiovascular > Normal Development, Structure, and Function > Normal Circulation of the Embryo and Fetus > Right-to-Left Shunts","cardiovascular autopsy or surgical pathology specimen with clinical history, gross orientation, histology, and cause-of-death question integrated","normal cardiovascular gross or histologic comparator before abnormal pattern recognition","gross-micro correlation image, diagram, H&E field, or explicit no-image rationale tied to the diagnostic discriminator","mechanism-of-disease, mechanism-of-death, or clinicopathologic correlation stated with appropriate certainty and caveats","common cardiovascular mimic, postmortem artifact, degenerative change, or nonspecific injury pattern selected by faculty","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from unused cardiovascular/autopsy P0 AP specification path at source line 15691; faculty must confirm entity/process placement and batch-2 eligibility.","missing","Needs source-backed definition, normal comparator, gross-micro morphology, mechanism, mimic discriminator, reporting consequence, and safety pitfall.","missing","gross-micro correlation image, diagram, H&E field, or explicit no-image rationale tied to the diagnostic discriminator","missing","Prompts exist; faculty-reviewed diagnosis, mechanism, mimic discriminator, causality limits, and reporting answer key are not yet attached.","missing","Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-cv-autopsy-batch-2-card-05-a8b3583b-816c-46ff-9c62-be6cc6f22f0f","ap_cv-a8b3583b-816c-46ff-9c62-be6cc6f22f0f","Left-to-Right Shunts","Cardiovascular / Autopsy-adjacent","Cardiovascular / autopsy mechanism","PGY1-PGY2","Cardiovascular > Normal Development, Structure, and Function > Normal Circulation of the Embryo and Fetus > Left-to-Right Shunts","cardiovascular autopsy or surgical pathology specimen with clinical history, gross orientation, histology, and cause-of-death question integrated","normal cardiovascular gross or histologic comparator before abnormal pattern recognition","gross-micro correlation image, diagram, H&E field, or explicit no-image rationale tied to the diagnostic discriminator","mechanism-of-disease, mechanism-of-death, or clinicopathologic correlation stated with appropriate certainty and caveats","common cardiovascular mimic, postmortem artifact, degenerative change, or nonspecific injury pattern selected by faculty","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from unused cardiovascular/autopsy P0 AP specification path at source line 15692; faculty must confirm entity/process placement and batch-2 eligibility.","missing","Needs source-backed definition, normal comparator, gross-micro morphology, mechanism, mimic discriminator, reporting consequence, and safety pitfall.","missing","gross-micro correlation image, diagram, H&E field, or explicit no-image rationale tied to the diagnostic discriminator","missing","Prompts exist; faculty-reviewed diagnosis, mechanism, mimic discriminator, causality limits, and reporting answer key are not yet attached.","missing","Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-cv-autopsy-batch-2-card-06-cf42a7cd-446d-4796-92c8-927240a08507","ap_cv-cf42a7cd-446d-4796-92c8-927240a08507","Aortic Coarctation","Cardiovascular / Autopsy-adjacent","Aorta / great vessels","PGY1-PGY2","Cardiovascular > Normal Development, Structure, and Function > Normal Circulation of the Embryo and Fetus > Aortic Coarctation","autopsy or surgical aortic specimen with tear location, rupture status, branch-vessel involvement, hypertension, and connective-tissue history","normal aortic wall architecture and elastic media before aneurysm, dissection, inflammation, or degeneration calls","gross dissection/aneurysm or aortic wall section plus elastic stain or H&E media discriminator","rupture/dissection mechanism, inherited-risk implication, operative-pathology correlation, and defensible cause-of-death language","atherosclerotic aneurysm, hypertensive medial degeneration, vasculitis, inherited connective-tissue disease, or iatrogenic/postmortem artifact","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from unused cardiovascular/autopsy P0 AP specification path at source line 15694; faculty must confirm entity/process placement and batch-2 eligibility.","missing","Needs source-backed definition, normal comparator, gross-micro morphology, mechanism, mimic discriminator, reporting consequence, and safety pitfall.","missing","gross dissection/aneurysm or aortic wall section plus elastic stain or H&E media discriminator","missing","Prompts exist; faculty-reviewed diagnosis, mechanism, mimic discriminator, causality limits, and reporting answer key are not yet attached.","missing","Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-cv-autopsy-batch-2-card-07-e3e1e0a5-4ad6-4129-80ae-e1e18f275adb","ap_cv-e3e1e0a5-4ad6-4129-80ae-e1e18f275adb","Mitochondrial Cardiomyopathy","Cardiovascular / Autopsy-adjacent","Myocardium / ischemic and nonischemic injury","PGY1-PGY2","Cardiovascular > Normal Development, Structure, and Function > Normal Circulation of the Embryo and Fetus > Mitochondrial Cardiomyopathy","autopsy heart or cardiac specimen with coronary, chamber, myocardial, clinical-timeline, and toxicologic context reconciled before diagnosis","normal myocardium, coronary perfusion territory, and expected postmortem change before injury pattern assignment","gross heart/coronary or low-power myocardium with high-power injury, inflammation, scar, or fibrosis discriminator","mechanism-of-death reasoning, contributory-vs-immediate cause language, and clinicopathologic limits on timing or causality","postmortem autolysis, contraction-band artifact, myocarditis, hypertensive heart disease, ischemic injury, or cardiomyopathy mimic","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from unused cardiovascular/autopsy P0 AP specification path at source line 15772; faculty must confirm entity/process placement and batch-2 eligibility.","missing","Needs source-backed definition, normal comparator, gross-micro morphology, mechanism, mimic discriminator, reporting consequence, and safety pitfall.","missing","gross heart/coronary or low-power myocardium with high-power injury, inflammation, scar, or fibrosis discriminator","missing","Prompts exist; faculty-reviewed diagnosis, mechanism, mimic discriminator, causality limits, and reporting answer key are not yet attached.","missing","Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-cv-autopsy-batch-2-card-08-5649e5b0-3f79-42cd-9c60-de1da4aae56e","ap_cv-5649e5b0-3f79-42cd-9c60-de1da4aae56e","Storage Disorder Cardiomyopathy","Cardiovascular / Autopsy-adjacent","Myocardium / ischemic and nonischemic injury","PGY1-PGY2","Cardiovascular > Normal Development, Structure, and Function > Normal Circulation of the Embryo and Fetus > Mitochondrial Cardiomyopathy > Storage Disorder Cardiomyopathy","autopsy heart or cardiac specimen with coronary, chamber, myocardial, clinical-timeline, and toxicologic context reconciled before diagnosis","normal myocardium, coronary perfusion territory, and expected postmortem change before injury pattern assignment","gross heart/coronary or low-power myocardium with high-power injury, inflammation, scar, or fibrosis discriminator","mechanism-of-death reasoning, contributory-vs-immediate cause language, and clinicopathologic limits on timing or causality","postmortem autolysis, contraction-band artifact, myocarditis, hypertensive heart disease, ischemic injury, or cardiomyopathy mimic","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from unused cardiovascular/autopsy P0 AP specification path at source line 15773; faculty must confirm entity/process placement and batch-2 eligibility.","missing","Needs source-backed definition, normal comparator, gross-micro morphology, mechanism, mimic discriminator, reporting consequence, and safety pitfall.","missing","gross heart/coronary or low-power myocardium with high-power injury, inflammation, scar, or fibrosis discriminator","missing","Prompts exist; faculty-reviewed diagnosis, mechanism, mimic discriminator, causality limits, and reporting answer key are not yet attached.","missing","Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-cv-autopsy-batch-2-card-09-0783c761-67e0-4568-8576-9b87b20f96e1","ap_cv-0783c761-67e0-4568-8576-9b87b20f96e1","Myocarditis","Cardiovascular / Autopsy-adjacent","Myocardium / ischemic and nonischemic injury","PGY1-PGY2","Cardiovascular > Normal Development, Structure, and Function > Normal Circulation of the Embryo and Fetus > Myocarditis","autopsy heart or cardiac specimen with coronary, chamber, myocardial, clinical-timeline, and toxicologic context reconciled before diagnosis","normal myocardium, coronary perfusion territory, and expected postmortem change before injury pattern assignment","gross heart/coronary or low-power myocardium with high-power injury, inflammation, scar, or fibrosis discriminator","mechanism-of-death reasoning, contributory-vs-immediate cause language, and clinicopathologic limits on timing or causality","postmortem autolysis, contraction-band artifact, myocarditis, hypertensive heart disease, ischemic injury, or cardiomyopathy mimic","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from unused cardiovascular/autopsy P0 AP specification path at source line 15776; faculty must confirm entity/process placement and batch-2 eligibility.","missing","Needs source-backed definition, normal comparator, gross-micro morphology, mechanism, mimic discriminator, reporting consequence, and safety pitfall.","missing","gross heart/coronary or low-power myocardium with high-power injury, inflammation, scar, or fibrosis discriminator","missing","Prompts exist; faculty-reviewed diagnosis, mechanism, mimic discriminator, causality limits, and reporting answer key are not yet attached.","missing","Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-cv-autopsy-batch-2-card-10-4bf99bfb-029c-42f3-ba51-10938df02ccd","ap_cv-4bf99bfb-029c-42f3-ba51-10938df02ccd","Normal Development, Structure, and Function","Cardiovascular / Autopsy-adjacent","Cardiovascular / autopsy mechanism","PGY1-PGY2","Cardiovascular > Normal Development, Structure, and Function > The Respiratory System and Mediastinum > Normal Development, Structure, and Function","cardiovascular autopsy or surgical pathology specimen with clinical history, gross orientation, histology, and cause-of-death question integrated","normal cardiovascular gross or histologic comparator before abnormal pattern recognition","gross-micro correlation image, diagram, H&E field, or explicit no-image rationale tied to the diagnostic discriminator","mechanism-of-disease, mechanism-of-death, or clinicopathologic correlation stated with appropriate certainty and caveats","common cardiovascular mimic, postmortem artifact, degenerative change, or nonspecific injury pattern selected by faculty","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from unused cardiovascular/autopsy P0 AP specification path at source line 15836; faculty must confirm entity/process placement and batch-2 eligibility.","missing","Needs source-backed definition, normal comparator, gross-micro morphology, mechanism, mimic discriminator, reporting consequence, and safety pitfall.","missing","gross-micro correlation image, diagram, H&E field, or explicit no-image rationale tied to the diagnostic discriminator","missing","Prompts exist; faculty-reviewed diagnosis, mechanism, mimic discriminator, causality limits, and reporting answer key are not yet attached.","missing","Reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
