cardId,sourceQueueId,title,category,learnerLevel,difficulty,apSpecPath,specimenContext,visualAnchorPlan,reportingConsequencePrompt,taxonomyQa,dermpathPatternOrEntityType,definition,clinicalContext,lowPowerPattern,highPowerFeature,topMimic,discriminator,ancillaryOrClinicalCorrelation,reportLanguage,safetyPitfall,visualAssetPathOrRationale,sourceCitation,retrievalAnswerKey,reviewer,reviewDate,decision,taxonomyQaGateStatus,taxonomyQaGateEvidence,contentAuthoringGateStatus,contentAuthoringGateEvidence,visualAnchorGateStatus,visualAnchorGateEvidence,retrievalKeyGateStatus,retrievalKeyGateEvidence,facultyReviewGateStatus,facultyReviewGateEvidence
"p0-dermpath-card-01-6b3da8c6-8a13-49c1-ad80-0a1207f265e0","ap_dermpath-6b3da8c6-8a13-49c1-ad80-0a1207f265e0","Vesiculobullous Reaction Pattern","Dermatopathology","PGY1-PGY2","C","Dermatopathology Topics for Anatomic Pathology Residents > Inflammatory Reaction Patterns > Poikiloderma of Civatte > Vesiculobullous Reaction Pattern","skin biopsy or excision, with clinical morphology, anatomic site, distribution, duration, and treatment context captured before slide review","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","pattern classification, organism or lineage confirmation when relevant, mimic exclusion, and report language that directs clinicopathologic correlation","","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Dermatopathology AP specification path at source line 6515; faculty must confirm whether this is an entity, pattern, infection, tumor family, or parser artifact.","missing","Needs source-backed definition, reaction-pattern placement, morphology, mimic discriminator, clinical correlation, and safety pitfall.","missing","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","missing","Dermpath prompt set exists; faculty-reviewed answer key is not yet attached.","missing","Dermatopathology reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"p0-dermpath-card-02-10bfa6b5-aff3-472f-8366-74ec7fe1b8fe","ap_dermpath-10bfa6b5-aff3-472f-8366-74ec7fe1b8fe","Halogenoderma","Dermatopathology","PGY1-PGY2","C","Dermatopathology Topics for Anatomic Pathology Residents > Inflammatory Reaction Patterns > Halogenoderma","skin biopsy or excision, with clinical morphology, anatomic site, distribution, duration, and treatment context captured before slide review","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","pattern classification, organism or lineage confirmation when relevant, mimic exclusion, and report language that directs clinicopathologic correlation","","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Dermatopathology AP specification path at source line 6526; faculty must confirm whether this is an entity, pattern, infection, tumor family, or parser artifact.","missing","Needs source-backed definition, reaction-pattern placement, morphology, mimic discriminator, clinical correlation, and safety pitfall.","missing","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","missing","Dermpath prompt set exists; faculty-reviewed answer key is not yet attached.","missing","Dermatopathology reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"p0-dermpath-card-03-98303819-7743-433f-89a9-7b36d0af9b5d","ap_dermpath-98303819-7743-433f-89a9-7b36d0af9b5d","Acantholysis","Dermatopathology","PGY1-PGY2","C","Dermatopathology Topics for Anatomic Pathology Residents > Inflammatory Reaction Patterns > Acantholysis","skin biopsy or excision, with clinical morphology, anatomic site, distribution, duration, and treatment context captured before slide review","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","pattern classification, organism or lineage confirmation when relevant, mimic exclusion, and report language that directs clinicopathologic correlation","","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Dermatopathology AP specification path at source line 6528; faculty must confirm whether this is an entity, pattern, infection, tumor family, or parser artifact.","missing","Needs source-backed definition, reaction-pattern placement, morphology, mimic discriminator, clinical correlation, and safety pitfall.","missing","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","missing","Dermpath prompt set exists; faculty-reviewed answer key is not yet attached.","missing","Dermatopathology reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"p0-dermpath-card-04-2dd20646-ef01-4abe-b3ce-7fe7a3de3a39","ap_dermpath-2dd20646-ef01-4abe-b3ce-7fe7a3de3a39","Reactions to Foreign Materials","Dermatopathology","PGY1-PGY2","C","Dermatopathology Topics for Anatomic Pathology Residents > Inflammatory Reaction Patterns > Reactions to Foreign Materials","skin biopsy or excision, with clinical morphology, anatomic site, distribution, duration, and treatment context captured before slide review","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","pattern classification, organism or lineage confirmation when relevant, mimic exclusion, and report language that directs clinicopathologic correlation","","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Dermatopathology AP specification path at source line 6550; faculty must confirm whether this is an entity, pattern, infection, tumor family, or parser artifact.","missing","Needs source-backed definition, reaction-pattern placement, morphology, mimic discriminator, clinical correlation, and safety pitfall.","missing","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","missing","Dermpath prompt set exists; faculty-reviewed answer key is not yet attached.","missing","Dermatopathology reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"p0-dermpath-card-05-6294819c-b557-4556-951d-774f5c4413bf","ap_dermpath-6294819c-b557-4556-951d-774f5c4413bf","Scleroderma","Dermatopathology","PGY1-PGY2","C","Dermatopathology Topics for Anatomic Pathology Residents > Inflammatory Reaction Patterns > The Dermis > Chondrodermatitis Nodularis Helicis > Scleroderma","skin biopsy or excision, with clinical morphology, anatomic site, distribution, duration, and treatment context captured before slide review","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","pattern classification, organism or lineage confirmation when relevant, mimic exclusion, and report language that directs clinicopathologic correlation","","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Dermatopathology AP specification path at source line 6956; faculty must confirm whether this is an entity, pattern, infection, tumor family, or parser artifact.","missing","Needs source-backed definition, reaction-pattern placement, morphology, mimic discriminator, clinical correlation, and safety pitfall.","missing","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","missing","Dermpath prompt set exists; faculty-reviewed answer key is not yet attached.","missing","Dermatopathology reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"p0-dermpath-card-06-92580dac-b781-4a78-9229-0ac9825771a2","ap_dermpath-92580dac-b781-4a78-9229-0ac9825771a2","Calcinosis Cutis","Dermatopathology","PGY1-PGY2","C","Dermatopathology Topics for Anatomic Pathology Residents > Inflammatory Reaction Patterns > Nevus Anelasticus > Calcinosis Cutis","skin biopsy or excision, with clinical morphology, anatomic site, distribution, duration, and treatment context captured before slide review","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","pattern classification, organism or lineage confirmation when relevant, mimic exclusion, and report language that directs clinicopathologic correlation","","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Dermatopathology AP specification path at source line 7074; faculty must confirm whether this is an entity, pattern, infection, tumor family, or parser artifact.","missing","Needs source-backed definition, reaction-pattern placement, morphology, mimic discriminator, clinical correlation, and safety pitfall.","missing","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","missing","Dermpath prompt set exists; faculty-reviewed answer key is not yet attached.","missing","Dermatopathology reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"p0-dermpath-card-07-e7d84c1f-0da6-4e64-ad15-a252c35405cc","ap_dermpath-e7d84c1f-0da6-4e64-ad15-a252c35405cc","Aluminum Chloride","Dermatopathology","PGY1-PGY2","C","Dermatopathology Topics for Anatomic Pathology Residents > Inflammatory Reaction Patterns > Aluminum Chloride","skin biopsy or excision, with clinical morphology, anatomic site, distribution, duration, and treatment context captured before slide review","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","pattern classification, organism or lineage confirmation when relevant, mimic exclusion, and report language that directs clinicopathologic correlation","","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Dermatopathology AP specification path at source line 7179; faculty must confirm whether this is an entity, pattern, infection, tumor family, or parser artifact.","missing","Needs source-backed definition, reaction-pattern placement, morphology, mimic discriminator, clinical correlation, and safety pitfall.","missing","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","missing","Dermpath prompt set exists; faculty-reviewed answer key is not yet attached.","missing","Dermatopathology reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"p0-dermpath-card-08-76b1563e-389c-415f-b5d2-419b1bb91a63","ap_dermpath-76b1563e-389c-415f-b5d2-419b1bb91a63","Ochronosis","Dermatopathology","PGY1-PGY2","C","Dermatopathology Topics for Anatomic Pathology Residents > Inflammatory Reaction Patterns > Ochronosis","skin biopsy or excision, with clinical morphology, anatomic site, distribution, duration, and treatment context captured before slide review","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","pattern classification, organism or lineage confirmation when relevant, mimic exclusion, and report language that directs clinicopathologic correlation","","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Dermatopathology AP specification path at source line 7180; faculty must confirm whether this is an entity, pattern, infection, tumor family, or parser artifact.","missing","Needs source-backed definition, reaction-pattern placement, morphology, mimic discriminator, clinical correlation, and safety pitfall.","missing","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","missing","Dermpath prompt set exists; faculty-reviewed answer key is not yet attached.","missing","Dermatopathology reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"p0-dermpath-card-09-7ed6c7fa-bcb3-45bb-ab29-eab741a2db6e","ap_dermpath-7ed6c7fa-bcb3-45bb-ab29-eab741a2db6e","Monilethrix","Dermatopathology","PGY1-PGY2","C","Dermatopathology Topics for Anatomic Pathology Residents > Inflammatory Reaction Patterns > Infundibulofolliculitis > Monilethrix","skin biopsy or excision, with clinical morphology, anatomic site, distribution, duration, and treatment context captured before slide review","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","pattern classification, organism or lineage confirmation when relevant, mimic exclusion, and report language that directs clinicopathologic correlation","","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Dermatopathology AP specification path at source line 7324; faculty must confirm whether this is an entity, pattern, infection, tumor family, or parser artifact.","missing","Needs source-backed definition, reaction-pattern placement, morphology, mimic discriminator, clinical correlation, and safety pitfall.","missing","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","missing","Dermpath prompt set exists; faculty-reviewed answer key is not yet attached.","missing","Dermatopathology reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"p0-dermpath-card-10-9aa335d8-fae4-426c-91ac-216e95c599af","ap_dermpath-9aa335d8-fae4-426c-91ac-216e95c599af","Cat-Scratch Disease","Dermatopathology","PGY1-PGY2","C","Dermatopathology Topics for Anatomic Pathology Residents > Inflammatory Reaction Patterns > Cat-Scratch Disease","skin biopsy or excision, with clinical morphology, anatomic site, distribution, duration, and treatment context captured before slide review","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","pattern classification, organism or lineage confirmation when relevant, mimic exclusion, and report language that directs clinicopathologic correlation","","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Dermatopathology AP specification path at source line 7715; faculty must confirm whether this is an entity, pattern, infection, tumor family, or parser artifact.","missing","Needs source-backed definition, reaction-pattern placement, morphology, mimic discriminator, clinical correlation, and safety pitfall.","missing","low-power inflammatory pattern or tumor silhouette, high-power diagnostic feature, and normal/reactive skin comparator when available","missing","Dermpath prompt set exists; faculty-reviewed answer key is not yet attached.","missing","Dermatopathology reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
