cardId,sourceQueueId,title,category,gastrointestinalOrganFocus,learnerLevel,difficulty,apSpecPath,sourceLine,specimenContext,normalComparatorPrompt,visualAnchorPlan,mimicDiscriminatorPrompt,reportingConsequencePrompt,taxonomyQa,definition,normalComparator,grossEndoscopicOrLowPowerAnchor,highPowerMicroscopicDiscriminator,topMimic,discriminator,ancillaryOrClinicopathologicCorrelation,reportLanguage,safetyPitfall,visualAssetPathOrRationale,sourceCitation,retrievalAnswerKey,reviewer,reviewDate,decision,taxonomyQaGateStatus,taxonomyQaGateEvidence,contentAuthoringGateStatus,contentAuthoringGateEvidence,visualAnchorGateStatus,visualAnchorGateEvidence,retrievalKeyGateStatus,retrievalKeyGateEvidence,facultyReviewGateStatus,facultyReviewGateEvidence
"p0-gi-card-01-7ede8c2a-b226-4493-8dc4-2e90988f6410","ap_gi-7ede8c2a-b226-4493-8dc4-2e90988f6410","Infections","Gastrointestinal","gastrointestinal tract","PGY1-PGY2","C","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Infections","1932","GI biopsy, polypectomy, resection, or appendiceal specimen with site, endoscopic appearance, clinical context, and sampling adequacy","site-appropriate normal GI mucosa, crypt/villus architecture, and wall-layer orientation before abnormal pattern recognition","low-power GI architecture or gross correlate plus high-power diagnostic discriminator with a normal-site comparator","common inflammatory, infectious, dysplastic, reactive, tumor, or sampling artifact mimic selected by faculty","diagnostic category, biopsy/resection wording, ancillary or correlation recommendation, and safety-critical caveat","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Gastrointestinal AP specification path at source line 1932; faculty must confirm entity/process placement and exclusion from prior batches.","missing","Needs source-backed definition, normal comparator, gross/endoscopic or low-power anchor, microscopic discriminator, mimic, pitfall, and report consequence.","missing","low-power GI architecture or gross correlate plus high-power diagnostic discriminator with a normal-site comparator","missing","GI prompt set exists; faculty-reviewed diagnosis, discriminator, consequence, and safety caveat answer key is not yet attached.","missing","GI faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-gi-card-02-e82e42c2-650a-4059-91d2-7ee0cf263cb0","ap_gi-e82e42c2-650a-4059-91d2-7ee0cf263cb0","Mesenchymal tumors","Gastrointestinal","GI tumor and tumor mimic","PGY1-PGY2","C","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Mesenchymal tumors","1936","GI biopsy, polypectomy, or resection with anatomic layer, site, size, and clinical/endoscopic impression","normal GI mucosal, submucosal, and wall-layer orientation before tumor lineage assignment","low-power growth pattern or layer of origin plus high-power lineage cue and planned ancillary discriminator","epithelial tumor, mesenchymal tumor, neuroendocrine tumor, lymphoma, melanoma/metastasis, and reactive mimic as appropriate","diagnostic lineage, grading/staging or risk element when relevant, and ancillary/immunophenotypic workup language","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Gastrointestinal AP specification path at source line 1936; faculty must confirm entity/process placement and exclusion from prior batches.","missing","Needs source-backed definition, normal comparator, gross/endoscopic or low-power anchor, microscopic discriminator, mimic, pitfall, and report consequence.","missing","low-power growth pattern or layer of origin plus high-power lineage cue and planned ancillary discriminator","missing","GI prompt set exists; faculty-reviewed diagnosis, discriminator, consequence, and safety caveat answer key is not yet attached.","missing","GI faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-gi-card-03-147807c0-cb07-44ab-a1dd-3a85b7d0bc01","ap_gi-147807c0-cb07-44ab-a1dd-3a85b7d0bc01","Meckel diverticulum","Gastrointestinal","developmental / anatomic GI lesion","PGY1-PGY2","C","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Meckel diverticulum","2080","GI resection or biopsy with anatomic site, age, symptoms, obstruction/bleeding context, and gross orientation","normal site-appropriate mucosa, wall layers, and ganglion cell/nerve plexus expectations where relevant","gross or low-power anatomic architecture plus high-power diagnostic structure, mucosa, ganglion cell, or cyst lining cue","sampling limitation, reactive mucosa, duplication cyst, diverticulum, aganglionosis mimic, and ectopic tissue differential","gross-micro correlation, margin or ganglion-cell adequacy language when relevant, and clinical consequence statement","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Gastrointestinal AP specification path at source line 2080; faculty must confirm entity/process placement and exclusion from prior batches.","missing","Needs source-backed definition, normal comparator, gross/endoscopic or low-power anchor, microscopic discriminator, mimic, pitfall, and report consequence.","missing","gross or low-power anatomic architecture plus high-power diagnostic structure, mucosa, ganglion cell, or cyst lining cue","missing","GI prompt set exists; faculty-reviewed diagnosis, discriminator, consequence, and safety caveat answer key is not yet attached.","missing","GI faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-gi-card-04-5ff86977-53f9-4fdd-b61d-2a8e3e37d7a8","ap_gi-5ff86977-53f9-4fdd-b61d-2a8e3e37d7a8","Celiac disease and tropical sprue","Gastrointestinal","small bowel / duodenum","PGY1-PGY2","C","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Celiac disease and tropical sprue","2086","duodenal or small-bowel biopsy with endoscopic, serologic, medication, and infection context captured before slide review","normal villous architecture, crypt-to-villus ratio, and expected intraepithelial lymphocyte density","low-power villous/crypt architecture plus high-power epithelial, inflammatory, or injury cue with a normal duodenal comparator","peptic injury, celiac disease, tropical sprue, medication injury, infection, and sampling/orientation artifact as appropriate","biopsy diagnosis, activity/chronicity language, suggested clinicoserologic correlation, and safety limits around overcalling villous blunting","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Gastrointestinal AP specification path at source line 2086; faculty must confirm entity/process placement and exclusion from prior batches.","missing","Needs source-backed definition, normal comparator, gross/endoscopic or low-power anchor, microscopic discriminator, mimic, pitfall, and report consequence.","missing","low-power villous/crypt architecture plus high-power epithelial, inflammatory, or injury cue with a normal duodenal comparator","missing","GI prompt set exists; faculty-reviewed diagnosis, discriminator, consequence, and safety caveat answer key is not yet attached.","missing","GI faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-gi-card-05-8169481e-44b9-474e-819b-4737d5e2a486","ap_gi-8169481e-44b9-474e-819b-4737d5e2a486","Peptic duodenitis / ulcer","Gastrointestinal","small bowel / duodenum","PGY1-PGY2","C","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Peptic duodenitis / ulcer","2087","duodenal or small-bowel biopsy with endoscopic, serologic, medication, and infection context captured before slide review","normal villous architecture, crypt-to-villus ratio, and expected intraepithelial lymphocyte density","low-power villous/crypt architecture plus high-power epithelial, inflammatory, or injury cue with a normal duodenal comparator","peptic injury, celiac disease, tropical sprue, medication injury, infection, and sampling/orientation artifact as appropriate","biopsy diagnosis, activity/chronicity language, suggested clinicoserologic correlation, and safety limits around overcalling villous blunting","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Gastrointestinal AP specification path at source line 2087; faculty must confirm entity/process placement and exclusion from prior batches.","missing","Needs source-backed definition, normal comparator, gross/endoscopic or low-power anchor, microscopic discriminator, mimic, pitfall, and report consequence.","missing","low-power villous/crypt architecture plus high-power epithelial, inflammatory, or injury cue with a normal duodenal comparator","missing","GI prompt set exists; faculty-reviewed diagnosis, discriminator, consequence, and safety caveat answer key is not yet attached.","missing","GI faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-gi-card-06-a2b54b0f-165e-4f7f-8313-3a4ee0768a26","ap_gi-a2b54b0f-165e-4f7f-8313-3a4ee0768a26","Crohn disease","Gastrointestinal","colon / inflammatory bowel disease and infectious colitis","PGY1-PGY2","C","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Crohn disease","2088","colonic biopsy, resection, or appendiceal/ileocolic specimen with disease distribution, treatment status, and infection risk context","normal colonic mucosa with preserved crypt architecture and expected lamina propria inflammation","low-power crypt architecture or membrane/ulcer pattern plus high-power activity, chronicity, organism, or granuloma cue","IBD, infectious colitis, ischemia, medication injury, diversion change, and procedure-related artifact","activity/chronicity grading, dysplasia awareness, organism trigger, and report wording that guides clinicopathologic correlation","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Gastrointestinal AP specification path at source line 2088; faculty must confirm entity/process placement and exclusion from prior batches.","missing","Needs source-backed definition, normal comparator, gross/endoscopic or low-power anchor, microscopic discriminator, mimic, pitfall, and report consequence.","missing","low-power crypt architecture or membrane/ulcer pattern plus high-power activity, chronicity, organism, or granuloma cue","missing","GI prompt set exists; faculty-reviewed diagnosis, discriminator, consequence, and safety caveat answer key is not yet attached.","missing","GI faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-gi-card-07-19bf44d3-9dd4-4993-843a-d41714d08907","ap_gi-19bf44d3-9dd4-4993-843a-d41714d08907","Lymphomas","Gastrointestinal","GI tumor and tumor mimic","PGY1-PGY2","C","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Neuroendocrine tumors > Lymphomas","2101","GI biopsy, polypectomy, or resection with anatomic layer, site, size, and clinical/endoscopic impression","normal GI mucosal, submucosal, and wall-layer orientation before tumor lineage assignment","low-power growth pattern or layer of origin plus high-power lineage cue and planned ancillary discriminator","epithelial tumor, mesenchymal tumor, neuroendocrine tumor, lymphoma, melanoma/metastasis, and reactive mimic as appropriate","diagnostic lineage, grading/staging or risk element when relevant, and ancillary/immunophenotypic workup language","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Gastrointestinal AP specification path at source line 2101; faculty must confirm entity/process placement and exclusion from prior batches.","missing","Needs source-backed definition, normal comparator, gross/endoscopic or low-power anchor, microscopic discriminator, mimic, pitfall, and report consequence.","missing","low-power growth pattern or layer of origin plus high-power lineage cue and planned ancillary discriminator","missing","GI prompt set exists; faculty-reviewed diagnosis, discriminator, consequence, and safety caveat answer key is not yet attached.","missing","GI faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-gi-card-08-c5bfdb5c-be57-4333-8462-fe5418f6262e","ap_gi-c5bfdb5c-be57-4333-8462-fe5418f6262e","Melanosis coli","Gastrointestinal","GI tumor and tumor mimic","PGY1-PGY2","C","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Melanosis coli","2105","GI biopsy, polypectomy, or resection with anatomic layer, site, size, and clinical/endoscopic impression","normal GI mucosal, submucosal, and wall-layer orientation before tumor lineage assignment","low-power growth pattern or layer of origin plus high-power lineage cue and planned ancillary discriminator","epithelial tumor, mesenchymal tumor, neuroendocrine tumor, lymphoma, melanoma/metastasis, and reactive mimic as appropriate","diagnostic lineage, grading/staging or risk element when relevant, and ancillary/immunophenotypic workup language","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Gastrointestinal AP specification path at source line 2105; faculty must confirm entity/process placement and exclusion from prior batches.","missing","Needs source-backed definition, normal comparator, gross/endoscopic or low-power anchor, microscopic discriminator, mimic, pitfall, and report consequence.","missing","low-power growth pattern or layer of origin plus high-power lineage cue and planned ancillary discriminator","missing","GI prompt set exists; faculty-reviewed diagnosis, discriminator, consequence, and safety caveat answer key is not yet attached.","missing","GI faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-gi-card-09-704f5a9f-d5da-42f9-91af-bd7a07e9e05f","ap_gi-704f5a9f-d5da-42f9-91af-bd7a07e9e05f","Hirschsprung disease","Gastrointestinal","developmental / anatomic GI lesion","PGY1-PGY2","C","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Hirschsprung disease","2107","GI resection or biopsy with anatomic site, age, symptoms, obstruction/bleeding context, and gross orientation","normal site-appropriate mucosa, wall layers, and ganglion cell/nerve plexus expectations where relevant","gross or low-power anatomic architecture plus high-power diagnostic structure, mucosa, ganglion cell, or cyst lining cue","sampling limitation, reactive mucosa, duplication cyst, diverticulum, aganglionosis mimic, and ectopic tissue differential","gross-micro correlation, margin or ganglion-cell adequacy language when relevant, and clinical consequence statement","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Gastrointestinal AP specification path at source line 2107; faculty must confirm entity/process placement and exclusion from prior batches.","missing","Needs source-backed definition, normal comparator, gross/endoscopic or low-power anchor, microscopic discriminator, mimic, pitfall, and report consequence.","missing","gross or low-power anatomic architecture plus high-power diagnostic structure, mucosa, ganglion cell, or cyst lining cue","missing","GI prompt set exists; faculty-reviewed diagnosis, discriminator, consequence, and safety caveat answer key is not yet attached.","missing","GI faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
"p0-gi-card-10-04486cc7-eb7e-42e1-a512-6547da432009","ap_gi-04486cc7-eb7e-42e1-a512-6547da432009","Tailgut cyst","Gastrointestinal","developmental / anatomic GI lesion","PGY1-PGY2","C","The Digestive System > The Gastrointestinal Tract > Physiologic Changes, Metabolic Conditions, & Trauma/Infarct > Tailgut cyst","2262","GI resection or biopsy with anatomic site, age, symptoms, obstruction/bleeding context, and gross orientation","normal site-appropriate mucosa, wall layers, and ganglion cell/nerve plexus expectations where relevant","gross or low-power anatomic architecture plus high-power diagnostic structure, mucosa, ganglion cell, or cyst lining cue","sampling limitation, reactive mucosa, duplication cyst, diverticulum, aganglionosis mimic, and ectopic tissue differential","gross-micro correlation, margin or ganglion-cell adequacy language when relevant, and clinical consequence statement","","","","","","","","","","","","","","","","draft","ready-for-review","Generated from Gastrointestinal AP specification path at source line 2262; faculty must confirm entity/process placement and exclusion from prior batches.","missing","Needs source-backed definition, normal comparator, gross/endoscopic or low-power anchor, microscopic discriminator, mimic, pitfall, and report consequence.","missing","gross or low-power anatomic architecture plus high-power diagnostic structure, mucosa, ganglion cell, or cyst lining cue","missing","GI prompt set exists; faculty-reviewed diagnosis, discriminator, consequence, and safety caveat answer key is not yet attached.","missing","GI faculty reviewer, source citation, image/license status, editorial decision, and last-reviewed date are not yet attached."
