"rank","batchName","facultyPacketPath","cardId","sourceQueueId","title","category","rotation","learnerLevel","editorialStatus","missingGateCount","readyForReviewGateCount","nextGateLabel","nextGateStatus","learningStandardIds","facultyAction"
"1","P0 breast entity card batch","reports/ap_p0_breast_card_batch_faculty_packet.md","p0-breast-card-01-b82b09fd-c24e-4aec-9ac7-a08c7ab5c109","ap_breast-b82b09fd-c24e-4aec-9ac7-a08c7ab5c109","Cysts","Breast","Breast pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Breast faculty reviewer, source citation, image/license status, biomarker/synoptic check when relevant, and last-reviewed date are not yet attached."
"2","P0 breast entity card batch","reports/ap_p0_breast_card_batch_faculty_packet.md","p0-breast-card-02-2605228a-e2fd-4c25-a6e0-d3ee3ca6e074","ap_breast-2605228a-e2fd-4c25-a6e0-d3ee3ca6e074","Adenosis","Breast","Breast pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Breast faculty reviewer, source citation, image/license status, biomarker/synoptic check when relevant, and last-reviewed date are not yet attached."
"3","P0 breast entity card batch","reports/ap_p0_breast_card_batch_faculty_packet.md","p0-breast-card-03-2a8fcd9a-2b21-4c2c-90de-aed238adba69","ap_breast-2a8fcd9a-2b21-4c2c-90de-aed238adba69","Hemangioma","Breast","Breast pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Breast faculty reviewer, source citation, image/license status, biomarker/synoptic check when relevant, and last-reviewed date are not yet attached."
"4","P0 breast entity card batch","reports/ap_p0_breast_card_batch_faculty_packet.md","p0-breast-card-04-a932fcfa-fe27-4db4-8180-ca7b7289715f","ap_breast-a932fcfa-fe27-4db4-8180-ca7b7289715f","Leiomyoma","Breast","Breast pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Breast faculty reviewer, source citation, image/license status, biomarker/synoptic check when relevant, and last-reviewed date are not yet attached."
"5","P0 breast entity card batch","reports/ap_p0_breast_card_batch_faculty_packet.md","p0-breast-card-05-ba5f6b06-f921-4a8e-9e91-24f117a6bf82","ap_breast-ba5f6b06-f921-4a8e-9e91-24f117a6bf82","Therapy induced changes","Breast","Breast pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Breast faculty reviewer, source citation, image/license status, biomarker/synoptic check when relevant, and last-reviewed date are not yet attached."
"6","P0 breast entity card batch","reports/ap_p0_breast_card_batch_faculty_packet.md","p0-breast-card-06-fe908fb0-3f26-4218-b27f-15b4d8241a74","ap_breast-fe908fb0-3f26-4218-b27f-15b4d8241a74","Normal Cytology","Breast","Breast pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Breast faculty reviewer, source citation, image/license status, biomarker/synoptic check when relevant, and last-reviewed date are not yet attached."
"7","P0 breast entity card batch","reports/ap_p0_breast_card_batch_faculty_packet.md","p0-breast-card-07-807f09d4-89f3-42fd-856e-5be0f851413c","ap_breast-807f09d4-89f3-42fd-856e-5be0f851413c","Normal Anatomy, History, and Development","Breast","Breast pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Breast faculty reviewer, source citation, image/license status, biomarker/synoptic check when relevant, and last-reviewed date are not yet attached."
"8","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-01-61be0cb0-c511-4759-9e7a-0b40b4b90d1e","ap_cv-61be0cb0-c511-4759-9e7a-0b40b4b90d1e","Medial calcification (e.g., Monckeberg)","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"9","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-02-23a7bf9b-0c22-4d6b-9183-4e2c06cdef6b","ap_cv-23a7bf9b-0c22-4d6b-9183-4e2c06cdef6b","Atherosclerosis","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
"10","P0 cardiovascular/autopsy entity card batch","reports/ap_p0_cv_autopsy_card_batch_faculty_packet.md","p0-cv-autopsy-card-03-a639b4ae-c0d4-4906-99c7-8f24e6dbe373","ap_cv-a639b4ae-c0d4-4906-99c7-8f24e6dbe373","Primary cardiomyopathy","Cardiovascular / Autopsy-adjacent","Autopsy, cardiovascular, and pulmonary pathology","PGY1-PGY2","draft-content-ready-for-review","1","4","Faculty review","missing","dual-coding; faculty-calibrated-safety","Resolve Faculty review: Reviewer, source citation, image/license status, and last-reviewed date are not yet attached."
