categoryId,difficulty,title,path,sourceLine,topicId
"ap_breast","AR","Silicone reaction","Breast > Normal Anatomy and Histology > Physiologic Changes, Metabolic Conditions & Trauma/Infarct > Silicone reaction","318","1d16eb68-90dd-40cf-ba58-6a7851749548"
"ap_breast","C","Cysts","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Cysts","324","b82b09fd-c24e-4aec-9ac7-a08c7ab5c109"
"ap_breast","C","Adenosis","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Adenosis","325","2605228a-e2fd-4c25-a6e0-d3ee3ca6e074"
"ap_breast","C","Hemangioma","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Hemangioma","332","2a8fcd9a-2b21-4c2c-90de-aed238adba69"
"ap_breast","C","Leiomyoma","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Leiomyoma","333","a932fcfa-fe27-4db4-8180-ca7b7289715f"
"ap_breast","AR","Adenomyoepithelioma","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Adenomyoepithelioma","341","c1da3f4f-e8f9-44c0-ac53-5445c1af75c0"
"ap_breast","AR","Galactocele","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Galactocele","343","970de297-1707-4c6b-87ca-950ec7b0df28"
"ap_breast","AR","Apocrine carcinoma","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Apocrine carcinoma","426","8fbc84f1-7251-455a-853b-d47da8c53d43"
"ap_breast","F","Other uncommon carcinomas","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Other uncommon carcinomas","438","3ed38611-197f-49e4-9bc5-11fc4c8818da"
"ap_breast","F","Radiation-induced sarcoma","Breast > Normal Anatomy and Histology > Diabetic mastopathy > Radiation-induced sarcoma","439","2c670cd5-63a5-4d51-ad51-0d70fb0bf19d"
"ap_breast","C","Therapy induced changes","Breast > Therapy induced changes","470","ba5f6b06-f921-4a8e-9e91-24f117a6bf82"
"ap_gu","AR","Acute diffuse intracapillary proliferative glomerulonephritis","The Genitourinary System > Kidney > Medical Kidney Disease > Acute diffuse intracapillary proliferative glomerulonephritis","504","408d838a-0bf3-4ef8-b618-467f327e80ee"
"ap_gu","C","Non-proliferative glomerulonephropathies","The Genitourinary System > Kidney > Medical Kidney Disease > Non-proliferative glomerulonephropathies","576","59e217f3-550d-40fb-ba59-d900d6d5a5af"
"ap_gu","AR","Glomerular diseases associated with isolated hematuria","The Genitourinary System > Kidney > Medical Kidney Disease > Glomerular diseases associated with isolated hematuria","592","ed2a2521-9be0-4467-831a-e36fdc748100"
"ap_gu","C","Diseases associated with acellular closure of glomerular capillaries","The Genitourinary System > Kidney > Medical Kidney Disease > Diseases associated with acellular closure of glomerular capillaries","608","d3176b1f-e18d-49eb-b9b0-5eeeb00fadc0"
"ap_gu","AR","Lupus nephropathies","The Genitourinary System > Kidney > Medical Kidney Disease > Lupus nephropathies","623","76db65fb-36d7-409f-972a-fa9a6dd53f98"
